address,freeBalance,reservedBalance
X9fR2eznFw8MotKUXt3NHncFnKyNe7QEBa4LaDKfAdjW2T6,16.2000 SDN,0
W6HLcNxq4jaZDAVhuyTcjQtHfQsgw5XfGVmgaHpVv3db9TV,142.2000 SDN,0
YVxxGmyNPXAgQ7Ds8NRnvnkXQ3dp45qFABzD9TQ8GwpfKAU,92.0540 SDN,0
YVxxGmyNPXAgQ7Ds8NRnvnkXQ3dp45qFABzD9TQ8GwpfKAU,92.0540 SDN,0
YVxxGmyNPXAgQ7Ds8NRnvnkXQ3dp45qFABzD9TQ8GwpfKAU,92.0540 SDN,0
YVxxGmyNPXAgQ7Ds8NRnvnkXQ3dp45qFABzD9TQ8GwpfKAU,92.0540 SDN,0
YfbH19tmu46bN1apgwwrg4Q9gZwunJMUP93TrsgEXyRtRsZ,39.6000 SDN,0
abfjBd86PknUG25PTaitg9qu3azzwQHeUPpmRc28tQoifLq,660.2206 mSDN,0
WFfWh4AYaVN823mTS8YiyedvH2KqU2iC2GtNxUtFRcGRUTH,264.7658 SDN,0
XnQbw7rm2UQJ1NDiDxwkWfeRg4LKeDzNm2tg6diTnwCkyF1,16.7159 SDN,0
XnQbw7rm2UQJ1NDiDxwkWfeRg4LKeDzNm2tg6diTnwCkyF1,16.7159 SDN,0
Z9dKgEpUNYgjGPiqXmBWmZGsJEWnjnQX47kqLVRkQMpgJPS,16.6000 SDN,0
YUYPZDMkryTuj8GrRMUynBvbepzpcbncaN4q7g9y68F2Sqb,66.7094 SDN,0
bKexGGGEDo9YfYXZ6Tf6redqnwYpHYaGmUSibB5Ue4hQjZm,1.1016 SDN,0
bCYfRdYP436xbQvJdii7szesC9YuERFkNttLvGHCFPXpaYH,6.6800 SDN,0
YVFajbTR4JtyoyK3ZsPvDRKPQGbWiqXLjpViNU5sH2rvQiT,288.3200 SDN,0
YVFajbTR4JtyoyK3ZsPvDRKPQGbWiqXLjpViNU5sH2rvQiT,288.3200 SDN,0
XYPRcsgnZuGNc3KSfAvAA4w2cP7fxmUtS169GyNnBFFs591,100.4800 SDN,0
bUKXHZhHbqEKnngs84PkM94MxGVv4JKRRPvMPYAhFAkQfzU,236.6545 mSDN,0
bUKXHZhHbqEKnngs84PkM94MxGVv4JKRRPvMPYAhFAkQfzU,236.6545 mSDN,0
bTHMuTWUyXfihy78as7i7aVdNwyLdxe3ZjHGHuqvehqNJaF,250.0859 SDN,0
an2ZGFZsWyY2WUGdbrKrWa9VeAQcbvxBMEP7oUxJFd69GXM,261.8560 SDN,0
b9d55eaT2C7eTQw4bg3MNA6bzpBQnKK9fiQX4k1HC6BmeyK,8.1120 SDN,0
aC4ivfHDf474vWmY3MRitoHduXdNtdJna2AtYuJfGtvFgDp,130.7200 SDN,0
aC4ivfHDf474vWmY3MRitoHduXdNtdJna2AtYuJfGtvFgDp,130.7200 SDN,0
X14hraVsN2Zk8LWSanBW2RR3izZy6dNbF5JmnfYGRjHcrw9,20.6400 SDN,0
Y29RKwnotQvfUwGvTq5Gp7ahZjadR35U6QWV5amoKU9Syi7,13.6000 SDN,0
W7yk12JuSoiwvij21V2US6D11NyQGMggtjtq1BgCoxCkQW5,4.9960 mSDN,0
WmiDuSSu7FkTr28hdXeJG1Em4z4hvvNNWo6FuzXkWzULh4N,5.6280 SDN,0
WmiDuSSu7FkTr28hdXeJG1Em4z4hvvNNWo6FuzXkWzULh4N,5.6280 SDN,0
WmiDuSSu7FkTr28hdXeJG1Em4z4hvvNNWo6FuzXkWzULh4N,5.6280 SDN,0
ZTiEqwQCcYSshaLxUUz3U2S8dB4qEnvbzxqENucJHRgffFZ,206.0000 mSDN,0
YykkNqmS2EGnfogVkADd7WFU9ULEH7Dn8Y9tNGmKNtsXDSj,1.8643 SDN,0
ZAVdahtYezY83KCoHpvUukA1CiWcyXrKvjQtTp9pRw8stbu,25.0500 SDN,0
ZAVdahtYezY83KCoHpvUukA1CiWcyXrKvjQtTp9pRw8stbu,25.0500 SDN,0
bNtw6piAJxQHu55rQyJj6mTVvvzPWcuQrTViJychUZTD22d,6.6341 mSDN,0
ZtDNtJbVbu6f9hWYuroxzMVX1yMsjpehD5ZhoPQnwzr997e,15.8000 SDN,0
ZtDNtJbVbu6f9hWYuroxzMVX1yMsjpehD5ZhoPQnwzr997e,15.8000 SDN,0
aCcBBWDSbjjzx4aW1VYpAcdH8Tch7AoMuVqZTdGaXFTeadx,17.1960 SDN,0
WBDML5UubZiczanmtxiBbfF6eZW6HYpJUurhLQxBuJ372bb,157.5925 SDN,0
WJYeSJ6eNLF2p7mHekCUH1M6CyGz5GDmLJSVwxCo3mgnokc,8.3040 SDN,0
YJor3KgUyYNnYD77wp2S9CUFQn3bytiVn5pXFm5ey862f4C,97.5000 SDN,0
aP3f971BzuED6roppbVSf7wgkZ5rxdi9LYyde6Gd1ZVHF8T,12.2899 SDN,0
YGuJmyWcAtqQvKeetnoVacPVd6axermPJyC2SZSJtRuiyjE,92.4123 SDN,0
YGuJmyWcAtqQvKeetnoVacPVd6axermPJyC2SZSJtRuiyjE,92.4123 SDN,0
YGuJmyWcAtqQvKeetnoVacPVd6axermPJyC2SZSJtRuiyjE,92.4123 SDN,0
YGuJmyWcAtqQvKeetnoVacPVd6axermPJyC2SZSJtRuiyjE,92.4123 SDN,0
WMBf5azGa6Ksr9g6n5XFaEbv1NwKe2SSNSebcjs4nDsZWKC,77.9328 SDN,0
YGmhbrLJ83SNMF2r8bzXsTiBBPybjZcKjXBtayinmTaEKB2,3.7065 SDN,0
YGmhbrLJ83SNMF2r8bzXsTiBBPybjZcKjXBtayinmTaEKB2,3.7065 SDN,0
Y9uzexsK9pMJZVaVq1zMX7yF1rBgeJcUb9vrgAXzCaPXf2r,304.6773 SDN,0
a3Mpn7YFyAscUoFK2EKPjED63A5WHyXiEihg6cLKQKDHDG3,2.5807 SDN,0
aEzFituKSVywJCpdEwVRdh1VPuJfPqTDGvqjBudSudQvbDT,1.7983 SDN,0
ZkXTwKgny2Dx8HXZaLUYb8SfUivDqZrDqsScxrystiB7Dks,59.0399 SDN,0
Zi4jY1qr3d2GCGZsna4bDoVX3UxKbgGDWWJjJQdAYophi7A,1.8240 SDN,0
X8H5Tvc4o2tkfW5mM3VTcTSxHiJd9jHDaPnhAawoTLFPErW,2.3301 SDN,0
Zy5A5KzLHSxLQt6Et6uVm8kVbZr8bpciH1RTg8LxrqykMys,29.1999 SDN,0
WVtiocFdsKx4DvAHgNNMUNJtw9wcQEZmn2nv4yAqEYHBR4r,3.9960 SDN,0
WVtiocFdsKx4DvAHgNNMUNJtw9wcQEZmn2nv4yAqEYHBR4r,3.9960 SDN,0
WWR2Wv4EBk1ZuVUt2dHdHLTeLC6Y4akGVHBedZKTEefBDn6,8.3759 mSDN,0
Z2H5GTTsXfPpurnajKUoQah5BVzgy9sDbKvHYQDBcKZd3Ah,94.9753 mSDN,0
Z2H5GTTsXfPpurnajKUoQah5BVzgy9sDbKvHYQDBcKZd3Ah,94.9753 mSDN,0
WwuSER2RCYheuZs6PoRcmPVcGz5UtWRgN3CuDA32ipiSUGb,31.4160 SDN,0
