ethAddress,receiverAddress,sendAmount,numberOfRefs
0x2d165E5191EF0674dA2637b421A765BDb1F8d346,apaNTC8x1KW5gCb8qetAS1swbvDSukoUJKzfyKy4UGnWYPY,41756431493092080000000,1541
0xea8dd9381571D618119912AF553CE81c3c0dFF12,bJDye7uVsQbs2qYdF2C2DNv1sRt8sNzQXJrkBKz37L7dujw,2371656800002320000000,258
0x3937B5F83f8e3DB413bD202bAf4da5A64879690F,N/A,342232080000000000000,46
0x1080355C93A1B4c0Dd3c340Eed4f7E514c583077,YwnuNtrGcHa7jxz4jLibeCxxrqKcrUurYAjM2GTLVPr3Kbf,1772800000000000000,4
0xF5d7D97B33C4090a8CAce5F7C5a1CC54C5740930,N/A,7515440751581616000000,744
0x6C7e7fbFa69f4B5A5Ade1C27BC74fa4290a3b8A3,ZjRyNrzhgLXML9nm7JLQBfRyC24h1aJSfRpTZZNgNgJnnmD,11210527785552000000000,368
0x2411605A576fe058483382C1db691318056eBaaD,aVVjS5k8fYAtfwCSngWTv2bkfYtP7TA4DQ7PXpHVFrGea11,8492356684800000000000,92
0xA451FD5Fcc0D389e0C27FF22845c0e17153f7Dc8,N/A,1484091864600000000000,181
0x2ECd81E43C1F66185446F4af7DfEAa6AAE249f55,ZRyMAksBgZ3VVirY6AjTkqF2wZq2mu6fUJPkMvmh6tbA4Gv,25280000000000000000,1
0x29C176BC50433D65113A2e6776b595a3DE04F92f,X2CqbKhYitPF7iaw4hNXUfeWy19TSHFjnZx8pyXDdpQwdhh,1535307351880000000000,100
0x45EE0A0db0E775AeCBebB300cCfC6486690B3287,N/A,1213056000000000000,3
0x81042f7F99a86D3981308E72feb36BD791C31920,Z8aguz83ut8RuYqq8rZd57ogBHPUk4uUek3zhF2fNZS5q6u,205805746000000000000,32
0xfF3fc772434505ABff38EEcDe3C689D4b0254528,Wqzdabm6mWpuuCUzecqHHY3G8G2RocB8nFguJhQaM7YzcBK,25600000000000000000,1
0x0fbB89875A0cb732437b63740F4d4F265AC727f1,ac7KDvjNTgwBzqMwUzFo1M8pk1Bhg1dF1vNf7wA98mhD6Gr,558000000000000000,1
0xe32c5673b152571E57976bF3A75068917DA2Da9C,Y8GmKcXKSeeq72JL9fZaL7veLtzXRuRBh6DVHzADbJ6oADg,249600000000000000,1
0xD8dE1f6764E442b8763d313722E9eaEe3779707E,WT6KnmWysXt2n2YiQv8QB69sFTSFFgFZBh7vzfTdLTkr3KV,130236400000000000000,3
0x7b4D4ba1070c4562c568fEd6280C800a68FA5427,N/A,5248000000000000000,1
0x01734005354d569716291cD1CFbc67f3f56a0b6F,Wh2nf6F5ZNJguoQu22Z361xo6VFqX1Y2BuQMcJBSJxERh5E,972724120000000000000,16
0xF4e2FcD72b667B9f9E71bcE82069CD174348FD90,YhmNUMhAm27pYsnadDLmCVVPTZFexDETTq3T6pYr9TydcR1,6171880000000000000,3
0x9498dB340A3ecab7Bb0973ee36e95E58C8E58a41,Xp5rb4ioj84w8CUL2hZ95BGih4AT1NVDt1av6hZwKrR8n8t,745112710000000000000,141
0x1D32750e8a03443F008236f7C344Fc84821cF690,XPf3BcGbtsWKsk56MLKEb4KJhkQvvfyythaUnKnLhTAPS5f,5120000000000000000,1
0x23C6f263AdFb998F16a3d95f9C0D4D2024003156,W9PbVwaFRLT3upGi6UgAsNEe87sFg1s8YerwMsZbrXppToF,272610720000000000000,8
0xd8068f813c45C88CEBb02cBC0F91F95626Ec9a34,XiePHvby6DSBKyDWpnDeCc53Bt2iutJ2CYod5uaw38S9PJC,165390368000000000000,4
0x0dEf9b4811E4c4E9Da5ACF82d421C97B5E9C152F,WrTbSfrx11QMGwfn8GbmErX5PbsSEpEm1akkeyzbUNCF3Cs,158000000000000000,1
0xc78a748DcCBD806ae782EB3b8590ae7d162E5A90,N/A,25760000000000000000,2
