transactionHash,ethAddress,lockedEth,lockDuration,plasmAddress,plmBalance
0xdfeae5962ad6933df1e195a7d1db220f08e56996d9445afb947dc6b32bbee62b,0x0dEf9b4811E4c4E9Da5ACF82d421C97B5E9C152F,1.23,1000,WrTbSfrx11QMGwfn8GbmErX5PbsSEpEm1akkeyzbUNCF3Cs,295476.0196509803
0xd2c2e301297aa3f0b45c3de42566d435725c5660f0f783f48af32abe2bb3b596,0xd8068f813c45C88CEBb02cBC0F91F95626Ec9a34,0.01,100,XiePHvby6DSBKyDWpnDeCc53Bt2iutJ2CYod5uaw38S9PJC,410699.0235743798
0x08b5797d5dafbd101c3eca6852ad97fe39c412a9e692c6abaf679aa56ec1584c,0x00EeA078f8FBFc5d62458584E95306E60c4A638e,30,300,XtT8aQNCYCJDw53T3xt2WBh3ZYWY74AgrJfJkH493zN6YEg,7622589.490241978
0xcb546281eec3557fd07b6e43a9ca2c5ab3fcf1ab5808b5898960528b98e434b4,0x116Fd435e3B2E57598353089bA95e6A0FEbdb2f3,0.9,30,WaZRPXag23gXPDigaxGWxuMGG8ajg8uVHUj3FiDJWPXjo6k,20645.117610430947
0xb3a8d8092493e970a763cf9c27fbcd71ca6253ab919a243264608e5c1252fa2e,0xD307fF28710b7A4587200c5Ba4c67648c1F24045,0.01,30,WmxKSedF9ZwVZDSWbfKDCuP9ZvMM6Wdg6jso1iPHh1kMY1x,17846258.868830224
0xfca4ea70beb6e772315030d6d89745384dc57c9038a11febc7f0ac659d385f40,0x8E7fCc7A17f00f0f5f85F2D5964A581D0813c8A6,40,100,aGS1nLfRqSrpc9g1M45yLtzsqByWXbviHoFWqq2oWFojuqL,19424801.06973562
0xbeaeb9aa3d7e4c5a87b2950aa62b881d6d522fdf65103b4dc1e69d4f9f72188e,0xE552821eE85284249C71d4aBFc4437992Ed2FB93,0.01,1000,YYou8iYYk298sNwNsQd9ftcEGsGKuXy2nsk1K4xNpkXcnyb,3635857.464997876
0x18d8600de93553fdbb45bc9b1f7359a4a2cbdb3acd14100257eecc303f1b418e,0x02C2B66dc9678ba1441D384300299783AAe5C2c1,10,100,aLH2N5VyRpjChJkBuBb6mppp1JKsGNwwKnxugxto8zeNdg1,111358.13174837015
0x0d17bb2f7ae68385204f2842b77ffe039287705fd0c82d6f0850695f1f2cc2af,0x12909009D651D40D6ae00B150db3107BC5654603,1,100,aNqHDq5D8Lav1FN3iwvyTpoqRsVtzKRDGrLHQPfNnb8s4Av,198460.03577927356
0x4d95483d5d3a1b58a6cf5715418b1539f4a53a63e698908b9414b06a507366e6,0xe0e0B97949687e5Cdc9cA843c0428bD0437E176D,54,30,bRAxzAacTKqyRrJwpkT2GBsLRA4o6pGnKVvfpiShdNQ4Fen,144320.13874588772
0x01ad1be1ebb6070ea5001be8c6191bef38e6bbeaca22303ba16367e5ca2ad560,0xd419d53817E1DAA7B2f72E51707774f3ff0A54A3,30,300,abfjBd86PknUG25PTaitg9qu3azzwQHeUPpmRc28tQoifLq,1518760.2206756412
0x76d9a1ee06c5cbcabdfef42be8a9dff08921fbd02cf49bac3c3b96089ccc4ca5,0xDc1F0C07202629bE59E1f5396E7D78803423650e,1.98,300,XL3UJcm1iBcurbhkmBKA9jDhTQnx4yP9dnnGtHZ9RnC5yvF,0.171564592323643
0xd1ffcbce56e5e3655d5ae08ba5b744129298e8d471a4f1ba73a89bd8f8b03514,0xDbfcE5f51e67BE01cE77B54766f3770992878263,12,100,au4pdgwQBPYUFatawkDREFWHDo4SzVZAnwjr3UrCtutVoHJ,451506.6911861824
0xeea44b182602a69624057644cdc09fc657ee50a46f97431d16b730c25000fd3a,0x9999999ccD21cf1517E907b535dC8507f79BcE09,0.0001,1000,bUfebYnUSk7Pd4hUnEfsfThmfFvsvQSYnXsmkFBWEQS9ZiS,222733.90338889846
0x269bf8b055550f00a0a75d409c940ade3c39142c907f8712402f559c2d6f00fa,0xc55022673882D57aD13358567e62025467F5A57F,0.03,100,Wn3L2Tn9F594zGBn8kgGQHYbogCfuNpLVpamNx4VsVochar,106124.29955619676
0x26894debabf8c4deb8208877d4666bbaf182b828bad9095884fb0ebd80d2baea,0x531C2607862dE00604f600cfF6Be9cb312467570,2.99,100,aaZaY4b1xj9MWs6tnb5T1wdJyymNb2NRWJ92my8poGYxFTh,0.007040077890893
0x91a6cc80973cf8180d379b41cee8022d70c30db5ab6ce776b80188b9b70b004c,0xAf1b057a6011583171fB1Ea6e627baBd6Ba0CAB4,6.69,100,ahQyKLY1a3vvXMs8ymeHiPk72to2u9irnEPdUDJQuVeWULV,0.009139659634066
0x2ef75e843eecd9162fe6ece459366499dec4ce8edeab613cd87bf653ebb31e47,0xC8145caf71b4aF6c6cC682FC7E1A41C8769C6E86,0.02,1000,ZCXzwj25Mbs8ZwhAjcTvdYZ6kmYGKBNk6Ypuw7CsFUUCU1C,110417.22148326815
0x8744e86e39d0af753978e019994d5cced113e6d8584da66ce1c9ce4ef9d22942,0xB86617A3e305e53EB860d3b9fE9999FE72e04767,2.46,100,b5HamXTqrVkUXGzuCiT7uLMCHocaAkwTThsdNCUfQzY1eea,27122.871693167383
0xc82eb1e7ddcfe3d5149beaf39487a93fb9c26a78f7bb13032750301811a49ae0,0x95600d3C264e5b6B5bF0a7b346450E73F5Cd972E,25,30,ZDvvyccY5tt7nrpk8hDTx5zUMBAQg75BwqjTgmw6gd5qT15,2963034.9320359835
0x16a6496be6e44df2555eb96476d4cbb4a455b8ed55fe767f3962a7c0ef0c776a,0x1D32750e8a03443F008236f7C344Fc84821cF690,54.25,100,XPf3BcGbtsWKsk56MLKEb4KJhkQvvfyythaUnKnLhTAPS5f,603256.4997375328
0xab5c14ee856b9b3979901ecc092bb67007973a43943fe9ce36a1f662d0667679,0x286755Cf1b65af2D10613B58f4C2E7792A7cCcbE,10,100,abi566etE2yRKrM9FMTzJ8Cika9dRGQkfZcWtXf6xEBLBgP,110255.57598848531
0x320fde4a354ac8e753409e80369db4eebda1c67c2d0aec5d307f15eb7adbcd72,0x7f0d238412e75E45cB69b3CaCd4B59F220Da2442,50,100,aq6qkumYGX54CBb1HhKNLDADppgn61yJq8M2uvfktGSq2Yx,551277.8799424265
0x433cbb6c3c47adf898b8cc2b11ac20a54ec96b3b90ba60cd0d7108126a637851,0x10534D4e612071E6B6480C498dd8BDB8f51b9ed7,5,100,YhB13XzqexE67LkhDZktHQc6JeawCCvf31Bh6oQXqW1Q8gE,55127.787994242654
0x5141a0c8dd52fd25f45ee7ded69db2ec82cf00a7c7194421f9d05841ab8e32ad,0xC8E99360D5b672D66610B0db0807611fe954CcF9,1,100,WKUf1ATuB7e5thaKYNG6Hpc5a4qGHupEU4ACQUrrsrJyxVn,65.531299466396056
0x6e62ec9924a9d3a14898f2ab808a3cf2f81d9d6716e08154f1770b562aeca159,0x00FDBb477d1cD363C333eaC93FE7Eb0397Acd470,1,1000,YcQicwUwxqRDBopEsdd1kdaa9Be3xgEU172e8VQxCY7GuwK,0.001797392248889
0x49f6458a528ea8161343db7bbb49787709ae335e56996faa6ce8108c3adcae1f,0x7BA00C82C5b19b2eC77836b23a2289fb32558E88,0.04,30,WsdR6dh2yQ8qwHFGZZL75EHvt5DZ397orXBTqFMST9YzDJb,105.84535294894589
0xa0fefb371e0563cba98cc7c29cd697aa99833e85dbb44c34391d738bac056a22,0xD5aA581eE5D9033b2E36811869781043B1D571A6,0.84,300,a3NGXaRqG6WAxmL6TWMf4v9hBUSvrQs99EyqzcPda8MriPb,0.600327462642194
0xe7b12cb7fd734734dcb0b6aaf26ccd01323bfbdeb80c8d38b4d5f94c4851b05d,0xbdde562d6C0a3440806e13fd69D6e28C0cB452Ca,0.1,30,YBor6cNg7P6z6pbVriHkvDWrZXcfawFRtL5nd4WKwAy5bun,2271529.4777451697
0x19ac96229bf9681815913944b9cf13872c752a6bb85d8144194ffccae320bf76,0x6C7e7fbFa69f4B5A5Ade1C27BC74fa4290a3b8A3,0.07,300,ZjRyNrzhgLXML9nm7JLQBfRyC24h1aJSfRpTZZNgNgJnnmD,12933306.083711499
0x37b72d8938c03ffef36c61c36ba7f15696f302d622154083cf8014f604e444e5,0x1fEF0F8a5ac51790De232F0Ae3E1BFa47EADBAcD,0.02,30,ZSfLnCppbtBjdADUJAX1msBNphzXizxw1oCvsSJLaXoqStT,52.92267647447294
0xebf2546b85267a815bf3f3f1e519f834f8db6edfaed3f096821b90fedde3bca0,0xAeC05c2a88f2b7896005086aDBaBA3CfD81b63bE,100,100,bHYK2eMSxuN1zu8ShMAnccogyeqrdprGpRcWKK2w1fhSLEr,580.3154837015556
0xfca58b398c3183a7419f3800cb528c9f40e1173600547a0d3e8998db580d965b,0x6B924183307Ef2E529dB662F80200611328A0CbD,5,100,bVBpGsnXc6rZwjH6j66fz1nyd13cyNSCQ9uoTugh27XR2ZM,55127.787994242654
0x29942b695ef122aa75c9ba8105f8cfcd113bb3091c925a993c1dc8eb17b692ee,0x880c4F74C3d4C39D75F8e2aD958F40671416bf66,200,100,YnydwVLDJyDwqnufAmV6QwFeRCiYTrbzjSvCc4GfkMzoiSE,162.63296740311114
0xab3cda6485609567567ff4a4fff4fce20d93da3d4429cfa4fbc467ff98836b43,0x155ef6E396f63501804C192F80D223fD618B9795,0.001,1000,Z8wjh7YXJisokoNeqGCBXGcU37E1W7GXrFpuz6TbvSD1oeV,176.40892158157648
