address,plmAmount
b14B1JxFzJjbRvYU6S6T4qQ3ofggQM1nBdiu43x5uSA1hKn,100000
bQxDd9NJdcj2DRnLizR58pZCuYbJaxYu9Xnme4J9SLP8w99,60400
aR29XZi41y4dCusH8FrDk7QMnrz4pvusvSmZLLHD3WJdak4,34000
Xz5iREdWPpPGFeZpyFKDH5Te2Y135w3neiB7DUtRDgTu3MM,252800
XBPbTMQhDzqb4CVBC884v7kvQyrygBqb6cvmK1ZmPUSR2mS,19404
X5rBUs9tR1LNTJq3bsKDZ8yQJQWTt2JHGa68NCcmrkfbYk1,926300
ZNjoKPamqDa3EJwi5uH15dBEGXhdwpSwA9e3Fz9yFiHi44J,7536
aHL6FEpkwzCVZwW4hTDW7mKTnyPorEbNpE7hMK9T7K9qake,42720
b7DVAj28yGDdsQqUxRz1nvSG9nbZZA3v4EGK2WXYf5HuzbT,48600
bC4ZQYpRYoQKSnsfjpvGz33TPv3Xg2BpH36wShD6zhFArjp,241499.999
ZPDw1asz68STXXNd9B5an8CNELJZKHnFzPsBH8AzQ4rZxs2,251198
bZA6JCYwroubyedp51xJEpDBs6zsdBH6HN4DTF9ggWop4do,264000
WKFacRwbPqGDBANM5wXijL17hgwwjVeXhw67tpLDkaRoW5w,47700
bYLqQzf4Fs18hh7fAabGg5fWsAYAxg18Qisgjh1uXwspTQL,0.998
ZGqVYYc7rBuyAk8ALQvWAjR6ARXMWN6DMhGuVCYiPGp8GUH,85140
Zy7y7iej9eAfkeRdqjrcSZ6XH6XVqq44cXtQUfcZs6oadQh,88.996
YQ71Y7gYgP3UzsE2H8C4Lv7SxJPYsCUdd8rzn75Sk7Zj1hS,320010
WDBzhR2NSKVAk67MhBRG7sydNM2of5BWaoynyvGQQkAS1KL,105000
WiUN6nsyxefjU5EqF4rTBKo4WZyEuAn4cBSAGSXM4brdPJS,240480
YP37uvd2TCrnFvL5tXZ7YD1whZDCvdddpyGTj1zzViyuJV5,55080
aerRsAR8oK3VwiA1TtaqTbeMc9TMFFVXiuSkb44n3P2PxKn,35194769.334581600
WgArLZ55t6FjgjeTG2rEiqceSENSCSbFpBAJFiAU4s2ndcx,54991
aKqeiUCgoVmzKHbBrSWrpXetMJs1AbfJjFANtcceBMpiej2,837760
W8Ph3woJJWgyWgPWNgzGmzcVjui4PxPimQypgrQ2tZWte56,3772800
ba5gySWRUgMmj93VJm6mCd8Lymj29tUmjpUnVaCdyzGdcsq,342475.999
XoBPuWeyD7RDkk3WWXRg8YKzN9Y9tRSTMwCb37v2vqmvkxX,9.999
aQhwkL5NNfoCJikDtNRXVKkeQKo3QT447KDwmw4NyZmff4H,19749878.99
YehD1AVEnQF5vnRkh7z46PaEPqwGotdXz7cFWfE4Bmtt5S7,113760
Xa3HJfoUtAWYKCFvYLxDKpMGweqCKUjVXEXakAAvam3e6SW,62902.8
b2JzpZZNwZWuJvHK6aCTvKEDnaq39qjT2DadmRCKmmxZNtm,1666368
Xo7XqcHGHhr7G4KqUQooDwKs7yHre4HReXry5BErHZ2JiFw,64574
ZeMmQYavqH3fQUNU1eSkrcZDdubuxGWStXcJXF5GX4XKAEr,99999.998
XyRn9MhUphYB98HMNRGfkaG1dsnXtL1H5UoM4LpjGQdukbn,1539.99
XrEwprpPS4sSLbPDpXpR5fibX19Zw5EesANgSwYscF1XBdr,15400
