address,amount,memo
14i5hDbcxZ7MKhHrFAxnMn2HpYg1bV7uDZ1Zre4xQKbykUL2,1727382793948820000000,
15DHA9K6j9z1TTvp9xCHhqefUs9JAxYBEzC6CXhkZ6GLcqz2,508053762926125000000,
15zhxzPAvMRR84Y9zDYbQwKoxiPp9Do3gmZZ9U1t1xJRNs1P,1026268601110770000000,
124V7WTQTpLdCZWrSyoZouyjnboJtvx8tjP8NWu6c4fZP6SD,11730168822081900000000,
13SogGTjBotCGufsg2e1kBB8pajv9GJBZSjHYrAUZtFtveZy,4064430103409000000000,
14uiEj4GVwT1E39iMAAXAuxWQMiSnkoGWmVsXXJSqfmsKSBd,10161075258522500000000,
124E3QHNL5sKKTswUFPsw6Gvajk27yNmX56AHyrn2sZXRpoM,3556376340482870000000,
13QhrMwkuvBUYXrU55vQtTMsa4HSURiT5oP1J7JvuPdht5Ca,19610875248948400000000,
1344zprT7A4VFrQ46GJycLrjhBoYjf1RcsjbRLmk5DtsYshV,71780365396655600000000000,Kraken
15oWdCiFB2qNf74o2TuHjE3zADzazFfwKZMutZsWcnU5HE9e,1641013654251380000000,
14VEbENekdKML4xdjDVRVZrHhj4prHzaDjAqG4SfFATyH9J2,8972922946661760000000,
135r9hw35TEdiDd6V5S9oh7dR6pqEpYQPSy7uqRpQ1XHWkqh,1231522321332930000000,
1553yGpKoFH9pfrBqDLcAX5tKX23Nqt8huTM7Qcn2EvXf8Sr,718388020777540000000,
15dj4cKVDd1TbUmYkFFaNusqMfJhoowZM4b2hUFta7o5PUh7,821014880888617000000,
15D7yoqRZzhd8GZ6vLhC6LJMs6B9v4EDMwYZqi4VBLn7LucA,1026268601110770000000,
13TqWqWm8cx6QYR1hyEPfcvR1xZY1z2aCEbAi4rXaeqAxBWH,4105074404443090000000,
13rXcbQbpwHD2FxUAno7kAmuT8NADysg2xc5w4qGr4Jrey62,3078805803332310000000,
168SybgCT38JUQ4vPX8jr7PcKswgboFqdBeh1xp7JjhTxgq6,1210996949310710000000,
14xCvRi3vE5dNwhASP9keernbWXWtAnNK7QLCidS4ANfyEfB,1539402901666160000000,
14AMZ3gw4tRsrdp78i4MmHZ8EFbXTMfuXGQMEC3t1GoqLboH,47425705761862900000000000,Bifrost
1v1UhdbJ2tPm2PBELbyhMy5Xb1F1FCr5VQsYwqRAGXrVTLR,5027316124090800000000,
12nMwJkLHUVZ6Ldh3BkMUSSiQzTJuVi4YqfWjj2wNDAynbFL,513134300555386000000,
15z953eBUB27ZPD4S8YzREBJVkYGv8zpYUR6xcNRPZZSvAYb,513134300555386000000,
13gCzxK1286aqT8kPQmxhfxoC4MhhmTGoAKCtQUu7uZhUZvy,2052537202221540000000,
13roE1YR426TuQtbKzzamGLxoHvU8rvvyGwfnMjTq2tKkB7V,10775820311663100000000,
1LCjdYhdKDi38V1GWi6FCXWBdFoKbFAnMg75qUo925PQ4cG,1539402901666160000000,
12YFYB4N67MAXRpUCeR1tb9aRqhp1CUMg8ecpE8jrr7Gzjvv,612682354863131000000,
12N1i4pzkhqoSnAuEExfPdVFTEvEE3hj8PNivKSuBouwTS1t,633207726885346000000,
15tMXvEwxQb4juNrMc4ra95boXHCj6MhWqC4VXu1weantBqE,1016107525852250000000,
14NE4RTWV4UMV3XjNejEBpr8PQDQm2r365pZWVyVcVmVtoj6,15594029016661600000000,
1pwqT8HTsZRkGREWT3AxWFF6n8bi3mvgjAa7i5J6cvsCvnK,3694566963998780000000,
